66H1754381258618,241-15-690,2025-08-05 14:07:38,true,2,19
66H1754382790558,241-15-690,2025-08-05 14:33:10,true,1,46,2,19
66H1754383331962,241-15-690,2025-08-05 14:42:11,true,2,19,1,46
66H1754383901391,2,2025-08-05 14:51:41,true,1,2
66H1754383987051,241,2025-08-05 14:53:07,true,2,1,1,1,3,10
66H1754392362189,241-15-690,2025-08-05 17:12:42,true,1,2,3,3
66H1754411431234,241-15-604,2025-08-05 22:30:31,true,1,2,5,1
66H1754414300120,241-15-116,2025-08-05 23:18:20,true,5,2
66H1754658141833,241-15-690,2025-08-08 19:02:21,true,1,2
66H1754676184947,4,2025-08-09 00:03:04,true,3,4
66H1754676666373,2,2025-08-09 00:11:06,true,2,2
66H1754677153206,4,2025-08-09 00:19:13,true,1,2
66H1754679202904,241-15-144,2025-08-09 00:53:22,true,5,2,3,1
66H1754679680324,242,2025-08-09 01:01:20,true,2,1,5,2,3,1
